glyph_id,char,source,key_hex,unicode
0x1E0,呢,private,0xF257,U+5462
0x1E1,呦,private,0xF258,U+5466
0x1E2,周,private,0xF259,U+5468
0x1E3,味,private,0xF25A,U+5473
0x1E4,呵,private,0xF25B,U+5475
0x1E5,呸,private,0xF25C,U+5478
0x1E6,呼,private,0xF25D,U+547C
0x1E7,命,private,0xF25E,U+547D
0x1E8,和,private,0xF25F,U+548C
0x1E9,咐,private,0xF260,U+5490
0x1EA,咒,private,0xF261,U+5492
0x1EB,咔,private,0xF262,U+5494
0x1EC,咕,private,0xF263,U+5495
0x1ED,咖,private,0xF264,U+5496
0x1EE,咙,private,0xF265,U+5499
0x1EF,咚,private,0xF266,U+549A
0x1F0,咣,private,0xF267,U+54A3
0x1F1,咦,private,0xF268,U+54A6
0x1F2,咧,private,0xF269,U+54A7
0x1F3,咪,private,0xF26A,U+54AA
0x1F4,咬,private,0xF26B,U+54AC
0x1F5,咯,private,0xF26C,U+54AF
0x1F6,咱,private,0xF26D,U+54B1
0x1F7,咳,private,0xF26E,U+54B3
0x1F8,咻,private,0xF26F,U+54BB
0x1F9,咽,private,0xF270,U+54BD
0x1FA,咿,private,0xF271,U+54BF
0x1FB,品,private,0xF272,U+54C1
0x1FC,哇,private,0xF273,U+54C7
0x1FD,哈,private,0xF274,U+54C8
0x1FE,哉,private,0xF275,U+54C9
0x1FF,响,private,0xF276,U+54CD
0x200,哎,private,0xF277,U+54CE
0x201,哐,private,0xF278,U+54D0
0x202,哑,private,0xF279,U+54D1
0x203,哒,private,0xF27A,U+54D2
0x204,哔,private,0xF27B,U+54D4
0x205,哗,private,0xF27C,U+54D7
0x206,哝,private,0xF27D,U+54DD
0x207,哟,private,0xF27E,U+54DF
0x208,哥,private,0xF280,U+54E5
0x209,哦,private,0xF281,U+54E6
0x20A,哧,private,0xF282,U+54E7
0x20B,哨,private,0xF283,U+54E8
0x20C,哩,private,0xF284,U+54E9
0x20D,哪,private,0xF285,U+54EA
0x20E,哭,private,0xF286,U+54ED
0x20F,哲,private,0xF287,U+54F2
0x210,哺,private,0xF288,U+54FA
0x211,哼,private,0xF289,U+54FC
0x212,唇,private,0xF28A,U+5507
0x213,唉,private,0xF28B,U+5509
0x214,唐,private,0xF28C,U+5510
0x215,唔,private,0xF28D,U+5514
0x216,唤,private,0xF28E,U+5524
0x217,唧,private,0xF28F,U+5527
0x218,唬,private,0xF290,U+552C
0x219,售,private,0xF291,U+552E
0x21A,唯,private,0xF292,U+552F
0x21B,唰,private,0xF293,U+5530
0x21C,唱,private,0xF294,U+5531
0x21D,唷,private,0xF295,U+5537
0x21E,商,private,0xF296,U+5546
0x21F,啊,private,0xF297,U+554A
0x220,啡,private,0xF298,U+5561
0x221,啥,private,0xF299,U+5565
0x222,啦,private,0xF29A,U+5566
0x223,啧,private,0xF29B,U+5567
0x224,啪,private,0xF29C,U+556A
0x225,啰,private,0xF29D,U+5570
0x226,啵,private,0xF29E,U+5575
0x227,啾,private,0xF29F,U+557E
0x228,喀,private,0xF2A0,U+5580
0x229,喂,private,0xF2A1,U+5582
0x22A,善,private,0xF2A2,U+5584
0x22B,喉,private,0xF2A3,U+5589
0x22C,喊,private,0xF2A4,U+558A
0x22D,喔,private,0xF2A5,U+5594
0x22E,喘,private,0xF2A6,U+5598
0x22F,喙,private,0xF2A7,U+5599
0x230,喜,private,0xF2A8,U+559C
0x231,喝,private,0xF2A9,U+559D
0x232,喱,private,0xF2AA,U+55B1
0x233,喳,private,0xF2AB,U+55B3
0x234,喵,private,0xF2AC,U+55B5
0x235,喷,private,0xF2AD,U+55B7
0x236,喻,private,0xF2AE,U+55BB
0x237,喽,private,0xF2AF,U+55BD
0x238,嗅,private,0xF2B0,U+55C5
0x239,嗒,private,0xF2B1,U+55D2
0x23A,嗓,private,0xF2B2,U+55D3
0x23B,嗖,private,0xF2B3,U+55D6
0x23C,嗜,private,0xF2B4,U+55DC
0x23D,嗝,private,0xF2B5,U+55DD
0x23E,嗡,private,0xF2B6,U+55E1
0x23F,嗦,private,0xF2B7,U+55E6
0x240,嗨,private,0xF2B8,U+55E8
0x241,嗬,private,0xF2B9,U+55EC
0x242,嗯,private,0xF2BA,U+55EF
0x243,嗵,private,0xF2BB,U+55F5
0x244,嗷,private,0xF2BC,U+55F7
0x245,嗽,private,0xF2BD,U+55FD
0x246,嘀,private,0xF2BE,U+5600
0x247,嘉,private,0xF2BF,U+5609
0x248,嘎,private,0xF2C0,U+560E
0x249,嘛,private,0xF2C1,U+561B
0x24A,嘞,private,0xF2C2,U+561E
0x24B,嘟,private,0xF2C3,U+561F
0x24C,嘣,private,0xF2C4,U+5623
0x24D,嘲,private,0xF2C5,U+5632
0x24E,嘴,private,0xF2C6,U+5634
0x24F,嘶,private,0xF2C7,U+5636
0x250,嘻,private,0xF2C8,U+563B
0x251,嘿,private,0xF2C9,U+563F
0x252,噌,private,0xF2CA,U+564C
0x253,噔,private,0xF2CB,U+5654
0x254,噗,private,0xF2CC,U+5657
0x255,噜,private,0xF2CD,U+565C
0x256,噢,private,0xF2CE,U+5662
0x257,器,private,0xF2CF,U+5668
0x258,噫,private,0xF2D0,U+566B
0x259,噬,private,0xF2D1,U+566C
0x25A,噶,private,0xF2D2,U+5676
0x25B,噻,private,0xF2D3,U+567B
0x25C,噼,private,0xF2D4,U+567C
0x25D,嚏,private,0xF2D5,U+568F
0x25E,嚓,private,0xF2D6,U+5693
0x25F,嚣,private,0xF2D7,U+56A3
0x260,嚯,private,0xF2D8,U+56AF
0x261,嚼,private,0xF2D9,U+56BC
