index,glyph_id,key_hex,key_bytes,char,source,reserved,unicode
243,0xF2,0xF0E2,F0E2,偶,private,0,U+5076
244,0xF3,0xF0E3,F0E3,偷,private,0,U+5077
245,0xF4,0xF0E4,F0E4,催,private,0,U+50AC
246,0xF5,0xF0E5,F0E5,傲,private,0,U+50B2
247,0xF6,0xF0E6,F0E6,傻,private,0,U+50BB
248,0xF7,0xF0E7,F0E7,像,private,0,U+50CF
249,0xF8,0xF0E8,F0E8,僵,private,0,U+50F5
250,0xF9,0xF0E9,F0E9,儿,private,0,U+513F
251,0xFA,0xF0EA,F0EA,允,private,0,U+5141
252,0xFB,0xF0EB,F0EB,元,private,0,U+5143
253,0xFC,0xF0EC,F0EC,兄,private,0,U+5144
254,0xFD,0xF0ED,F0ED,充,private,0,U+5145
255,0xFE,0xF0EE,F0EE,兆,private,0,U+5146
256,0xFF,0xF0EF,F0EF,先,private,0,U+5148
257,0x100,0xF0F0,F0F0,光,private,0,U+5149
258,0x101,0xF0F1,F0F1,克,private,0,U+514B
259,0x102,0xF0F2,F0F2,免,private,0,U+514D
260,0x103,0xF0F3,F0F3,兔,private,0,U+5154
261,0x104,0xF0F4,F0F4,兢,private,0,U+5162
262,0x105,0xF0F5,F0F5,入,private,0,U+5165
263,0x106,0xF0F6,F0F6,全,private,0,U+5168
264,0x107,0xF0F7,F0F7,八,private,0,U+516B
265,0x108,0xF0F8,F0F8,公,private,0,U+516C
266,0x109,0xF0F9,F0F9,兮,private,0,U+516E
267,0x10A,0xF0FA,F0FA,共,private,0,U+5171
268,0x10B,0xF0FB,F0FB,关,private,0,U+5173
269,0x10C,0xF0FC,F0FC,兴,private,0,U+5174
270,0x10D,0xF140,F140,兵,private,0,U+5175
271,0x10E,0xF141,F141,其,private,0,U+5176
272,0x10F,0xF142,F142,具,private,0,U+5177
273,0x110,0xF143,F143,典,private,0,U+5178
274,0x111,0xF144,F144,养,private,0,U+517B
275,0x112,0xF145,F145,兼,private,0,U+517C
276,0x113,0xF146,F146,兽,private,0,U+517D
277,0x114,0xF147,F147,冀,private,0,U+5180
278,0x115,0xF148,F148,内,private,0,U+5185
279,0x116,0xF149,F149,冈,private,0,U+5188
280,0x117,0xF14A,F14A,册,private,0,U+518C
281,0x118,0xF14B,F14B,再,private,0,U+518D
282,0x119,0xF14C,F14C,冒,private,0,U+5192
283,0x11A,0xF14D,F14D,写,private,0,U+5199
284,0x11B,0xF14E,F14E,军,private,0,U+519B
285,0x11C,0xF14F,F14F,冠,private,0,U+51A0
286,0x11D,0xF150,F150,冤,private,0,U+51A4
287,0x11E,0xF151,F151,冬,private,0,U+51AC
288,0x11F,0xF152,F152,冰,private,0,U+51B0
289,0x120,0xF153,F153,冲,private,0,U+51B2
290,0x121,0xF154,F154,决,private,0,U+51B3
291,0x122,0xF155,F155,况,private,0,U+51B5
292,0x123,0xF156,F156,冷,private,0,U+51B7
293,0x124,0xF157,F157,冻,private,0,U+51BB
294,0x125,0xF158,F158,净,private,0,U+51C0
295,0x126,0xF159,F159,准,private,0,U+51C6
296,0x127,0xF15A,F15A,凉,private,0,U+51C9
297,0x128,0xF15B,F15B,凋,private,0,U+51CB
298,0x129,0xF15C,F15C,凌,private,0,U+51CC
299,0x12A,0xF15D,F15D,减,private,0,U+51CF
300,0x12B,0xF15E,F15E,凑,private,0,U+51D1
301,0x12C,0xF15F,F15F,凝,private,0,U+51DD
302,0x12D,0xF160,F160,几,private,0,U+51E0
303,0x12E,0xF161,F161,凡,private,0,U+51E1
304,0x12F,0xF162,F162,凭,private,0,U+51ED
305,0x130,0xF163,F163,凶,private,0,U+51F6
306,0x131,0xF164,F164,凸,private,0,U+51F8
307,0x132,0xF165,F165,出,private,0,U+51FA
308,0x133,0xF166,F166,击,private,0,U+51FB
309,0x134,0xF167,F167,函,private,0,U+51FD
310,0x135,0xF168,F168,刀,private,0,U+5200
311,0x136,0xF169,F169,刁,private,0,U+5201
312,0x137,0xF16A,F16A,刃,private,0,U+5203
313,0x138,0xF16B,F16B,分,private,0,U+5206
314,0x139,0xF16C,F16C,切,private,0,U+5207
315,0x13A,0xF16D,F16D,刊,private,0,U+520A
316,0x13B,0xF16E,F16E,刑,private,0,U+5211
317,0x13C,0xF16F,F16F,划,private,0,U+5212
318,0x13D,0xF170,F170,列,private,0,U+5217
319,0x13E,0xF171,F171,则,private,0,U+5219
320,0x13F,0xF172,F172,刚,private,0,U+521A
321,0x140,0xF173,F173,创,private,0,U+521B
322,0x141,0xF174,F174,初,private,0,U+521D
323,0x142,0xF175,F175,删,private,0,U+5220
324,0x143,0xF176,F176,判,private,0,U+5224
325,0x144,0xF177,F177,利,private,0,U+5229
326,0x145,0xF178,F178,别,private,0,U+522B
327,0x146,0xF179,F179,刮,private,0,U+522E
328,0x147,0xF17A,F17A,到,private,0,U+5230
329,0x148,0xF17B,F17B,制,private,0,U+5236
330,0x149,0xF17C,F17C,刷,private,0,U+5237
331,0x14A,0xF17D,F17D,券,private,0,U+5238
332,0x14B,0xF17E,F17E,刺,private,0,U+523A
333,0x14C,0xF180,F180,刻,private,0,U+523B
334,0x14D,0xF181,F181,剂,private,0,U+5242
335,0x14E,0xF182,F182,前,private,0,U+524D
336,0x14F,0xF183,F183,剑,private,0,U+5251
337,0x150,0xF184,F184,剔,private,0,U+5254
338,0x151,0xF185,F185,剖,private,0,U+5256
339,0x152,0xF186,F186,剧,private,0,U+5267
340,0x153,0xF187,F187,剩,private,0,U+5269
341,0x154,0xF188,F188,剪,private,0,U+526A
342,0x155,0xF189,F189,副,private,0,U+526F
343,0x156,0xF18A,F18A,劈,private,0,U+5288
344,0x157,0xF18B,F18B,力,private,0,U+529B
345,0x158,0xF18C,F18C,劝,private,0,U+529D
346,0x159,0xF18D,F18D,办,private,0,U+529E
347,0x15A,0xF18E,F18E,功,private,0,U+529F
348,0x15B,0xF18F,F18F,加,private,0,U+52A0
349,0x15C,0xF190,F190,务,private,0,U+52A1
350,0x15D,0xF191,F191,劣,private,0,U+52A3
351,0x15E,0xF192,F192,动,private,0,U+52A8
352,0x15F,0xF193,F193,助,private,0,U+52A9
